antecedent,antecedent_product_names,consequent,consequent_product_names,confidence,lift
45007,Organic Zucchini,13176,Bag of Organic Bananas,0.21628853762495462,1.755985516499198
47209,Organic Hass Avocado,13176,Bag of Organic Bananas,0.2928361055395585,2.377453588997621
8277,Apple Honeycrisp Organic,13176,Bag of Organic Bananas,0.27941089768533256,2.26845812022761
28985,Michigan Organic Kale,24852,Banana,0.2292681477961269,1.4901255291979867
28204,Organic Fuji Apple,24852,Banana,0.3796161674905496,2.467310648738634
44632,Sparkling Water Grapefruit,24852,Banana,0.20912859772977124,1.3592287692733422
21903,Organic Baby Spinach,24852,Banana,0.21347427883117692,1.3874734705683347
44359,Organic Small Bunch Celery,13176,Bag of Organic Bananas,0.22807094952347334,1.851643589138733
37646,Organic Gala Apples,13176,Bag of Organic Bananas,0.26070932519218337,2.1166253379898663
30391,Organic Cucumber,47209,Organic Hass Avocado,0.21740646639764857,3.123048224921087
5876,Organic Lemon,47209,Organic Hass Avocado,0.24270879742280407,3.486516714629875
22935,Organic Yellow Onion,13176,Bag of Organic Bananas,0.21718073353954928,1.7632290030062112
47626,Large Lemon,24852,Banana,0.2684775327387598,1.7449664482214338
27086,Half & Half,24852,Banana,0.22490058920848693,1.4617386354481514
39275,Organic Blueberries,21137,Organic Strawberries,0.23890984059938652,2.772074969524704
31717,Organic Cilantro,26209,Limes,0.2530651644599404,5.514973199427197
21137,Organic Strawberries,13176,Bag of Organic Bananas,0.23382644756661594,1.8983708513181219
8277,Apple Honeycrisp Organic,24852,Banana,0.20554907024184324,1.3359636740409657
42265,Organic Baby Carrots,24852,Banana,0.21859221084219455,1.4207374072277725
21137,Organic Strawberries,24852,Banana,0.21306480803451167,1.3848121201215449
40706,Organic Grape Tomatoes,24852,Banana,0.22245724946821785,1.4458581786185505
39275,Organic Blueberries,13176,Bag of Organic Bananas,0.2199225624780007,1.7854891373503976
30489,Original Hummus,24852,Banana,0.2557296932928884,1.6621120212850682
27845,Organic Whole Milk,24852,Banana,0.231096211573435,1.5020070074135792
47766,Organic Avocado,24852,Banana,0.3028592820315026,1.9684302082425558
27966,Organic Raspberries,13176,Bag of Organic Bananas,0.29630198617359815,2.4055920944501934
4920,Seedless Red Grapes,24852,Banana,0.2985687057652386,1.9405436601512078
27966,Organic Raspberries,21137,Organic Strawberries,0.24772669080800322,2.8743770333996643
21903,Organic Baby Spinach,13176,Bag of Organic Bananas,0.20922514589520466,1.6986398350728973
49683,Cucumber Kirby,24852,Banana,0.3305731500077244,2.1485561550047443
45066,Honeycrisp Apple,24852,Banana,0.3568978730354159,2.319653371123537
9076,Blueberries,24852,Banana,0.2921098416228723,1.8985643514653805
30391,Organic Cucumber,13176,Bag of Organic Bananas,0.268196084292333,2.177408219458036
42265,Organic Baby Carrots,13176,Bag of Organic Bananas,0.20501011155326504,1.6644191623674993
37646,Organic Gala Apples,24852,Banana,0.23343922329028977,1.5172353834791457
17794,Carrots,24852,Banana,0.21237828979080306,1.380350103173076
30391,Organic Cucumber,21137,Organic Strawberries,0.20618492502366362,2.392367213997854
5876,Organic Lemon,13176,Bag of Organic Bananas,0.2556975907330615,2.07593648217071
16797,Strawberries,24852,Banana,0.29050326562533024,1.8881224303719064
26209,Limes,24852,Banana,0.2264124052220512,1.4715646651819707
24964,Organic Garlic,22935,Organic Yellow Onion,0.20150813865381279,5.446197773122668
19057,Organic Large Extra Fancy Fuji Apple,13176,Bag of Organic Bananas,0.3115864717806465,2.5296825138863674
4605,Yellow Onions,24852,Banana,0.2896987778674951,1.882893672005771
