items,freq,item_count
4957,20739,1
39408,23949,1
18523,22998,1
44422,20109,1
32734,15796,1
20119,17367,1
39993,15346,1
38293,26664,1
32689,25715,1
35547,18303,1
40396,17842,1
22963,28341,1
43772,21488,1
34050,16804,1
36865,16362,1
23165,19633,1
26940,19238,1
9076,55753,1
"9076,24852",16286,2
30391,80292,1
"30391,21137",16555,2
"30391,47209",17456,2
"30391,13176",21534,2
"30391,21903",15813,2
31506,50001,1
21903,240755,1
"21903,21137",38134,2
"21903,13176",50372,2
"21903,24852",51395,2
24964,109539,1
"24964,26209",15946,2
"24964,22935",22073,2
"24964,21137",15627,2
"24964,47209",17697,2
"24964,13176",21318,2
"24964,21903",20996,2
"24964,47626",15318,2
"24964,24852",19107,2
23909,36865,1
41220,34792,1
30233,31973,1
29487,40129,1
17794,72611,1
"17794,24852",15421,2
41950,64164,1
17948,29875,1
33731,45137,1
19660,54022,1
22825,48864,1
39475,26348,1
44359,67992,1
"44359,13176",15507,2
26209,140328,1
"26209,21137",18999,2
"26209,47766",22010,2
"26209,47209",20030,2
"26209,13176",20881,2
"26209,21903",20776,2
"26209,47626",27403,2
"26209,24852",31772,2
39877,58617,1
5876,87537,1
"5876,47209",21246,2
"5876,13176",22383,2
25659,27182,1
19057,74984,1
"19057,13176",23364,2
42736,35525,1
9839,38569,1
19348,29121,1
33198,42248,1
20995,32762,1
432,30791,1
38383,23580,1
35939,20221,1
16953,19881,1
28934,15424,1
47734,21325,1
25146,24775,1
10957,18076,1
29987,21968,1
31040,16608,1
26790,16116,1
48364,19461,1
7021,17598,1
45633,17099,1
37067,18551,1
6187,15394,1
38400,16502,1
13629,17396,1
14084,15864,1
34448,16835,1
16349,20180,1
38777,21674,1
30450,21226,1
10749,57430,1
14992,29022,1
31343,26723,1
11777,26173,1
31683,19284,1
45,18386,1
43713,18005,1
19678,32460,1
16185,30126,1
43122,37626,1
41787,35322,1
2078,19767,1
48679,51862,1
35221,46393,1
27344,41369,1
5212,24343,1
1940,23124,1
27966,136695,1
"27966,21137",33863,2
"27966,47209",25793,2
"27966,13176",40503,2
"27966,21903",18044,2
"27966,24852",22892,2
46979,67082,1
13176,376676,1
40706,84151,1
"40706,21137",15573,2
"40706,13176",16650,2
"40706,21903",15925,2
"40706,24852",18720,2
37646,72717,1
"37646,13176",18958,2
"37646,24852",16975,2
19048,19776,1
38739,17527,1
28289,20185,1
18370,18411,1
40571,18020,1
33120,19310,1
39984,15920,1
23288,15397,1
21019,17015,1
30169,16595,1
38689,35455,1
5785,47639,1
21709,32710,1
35951,57576,1
46667,51959,1
38159,21271,1
8424,41992,1
27156,37937,1
18531,24542,1
46676,26781,1
43768,23376,1
890,21893,1
4605,73069,1
"4605,24852",21168,2
28985,67336,1
"28985,24852",15438,2
43295,26204,1
5479,30626,1
42585,29068,1
27845,136917,1
"27845,21137",23813,2
"27845,13176",26481,2
"27845,21903",16944,2
"27845,24852",31641,2
8277,84807,1
"8277,21137",15870,2
"8277,47209",15519,2
"8277,13176",23696,2
"8277,24852",17432,2
24852,470518,1
29447,20073,1
41290,19624,1
329,15316,1
47672,20735,1
37766,15705,1
3952,18302,1
38456,21419,1
21267,16274,1
18027,17739,1
42450,17348,1
35108,19109,1
48205,16785,1
34358,36538,1
27521,42997,1
25890,49978,1
47144,34331,1
2295,25445,1
26604,61569,1
21938,55420,1
42701,26639,1
47209,212887,1
"47209,21137",40794,2
"47209,13176",62341,2
"47209,21903",34901,2
"47209,24852",31222,2
45007,104638,1
"45007,21137",15320,2
"45007,47209",16464,2
"45007,13176",22632,2
"45007,21903",20415,2
"45007,24852",19318,2
260,23879,1
28849,27897,1
18362,22962,1
45066,79597,1
"45066,24852",28408,2
27104,71485,1
34243,31712,1
18465,39930,1
6184,29855,1
7781,34141,1
42265,76645,1
"42265,13176",15713,2
"42265,24852",16754,2
37687,31494,1
43789,26612,1
1463,27862,1
32864,19605,1
30776,20585,1
28199,39696,1
4799,36303,1
21288,22625,1
40310,20044,1
46969,21408,1
43961,55302,1
24838,49370,1
44142,42922,1
5077,60699,1
30489,71208,1
"30489,24852",18210,2
33754,29847,1
32655,25445,1
36695,23848,1
47766,176303,1
"47766,21137",23984,2
"47766,13176",22891,2
"47766,21903",30889,2
"47766,24852",53395,2
39275,99435,1
"39275,21137",23756,2
"39275,13176",21868,2
"39275,24852",18982,2
42342,17294,1
46654,15663,1
45535,17692,1
40174,16250,1
26283,18862,1
2086,18173,1
17461,16754,1
17872,16183,1
12206,15620,1
45603,16671,1
12341,49303,1
24799,18130,1
23375,19937,1
1158,17662,1
9387,35988,1
33000,33438,1
7948,21402,1
44987,20555,1
10246,23787,1
6046,22503,1
36011,26492,1
13870,24910,1
24489,31416,1
26369,29252,1
8021,27744,1
17600,19583,1
8859,18662,1
15290,39153,1
8174,42658,1
43154,17283,1
49683,97095,1
"49683,47766",15570,2
"49683,21903",15796,2
"49683,24852",32097,2
34126,60491,1
24184,55217,1
44632,75499,1
"44632,24852",15789,2
31717,69409,1
"31717,26209",17565,2
47626,152266,1
"47626,21137",16305,2
"47626,47766",24417,2
"47626,13176",19407,2
"47626,21903",22808,2
"47626,24852",40880,2
20842,25985,1
31553,24081,1
10132,17985,1
15937,17374,1
4210,35287,1
40604,32307,1
28465,19243,1
26620,21168,1
41665,18330,1
14678,20172,1
13984,19698,1
21376,15807,1
3957,37563,1
11182,23068,1
23734,21494,1
13646,16414,1
42768,30007,1
14947,28689,1
41844,26700,1
39619,16806,1
22935,113150,1
"22935,21137",16651,2
"22935,47209",19927,2
"22935,13176",24574,2
"22935,21903",19707,2
"22935,24852",16695,2
11520,40189,1
39928,50075,1
8518,66907,1
21616,72634,1
43352,56923,1
4920,82373,1
"4920,24852",24594,2
21137,263563,1
"21137,13176",61628,2
"21137,24852",56156,2
28842,45455,1
6348,15361,1
46802,24862,1
24830,23600,1
5818,16116,1
25931,17640,1
48745,17232,1
33768,15584,1
21405,27202,1
5025,26488,1
42828,31134,1
37158,18565,1
2966,18117,1
44683,22169,1
44910,21382,1
26165,20431,1
8193,29232,1
33787,19884,1
39812,19497,1
32478,16667,1
28204,89414,1
"28204,24852",33943,2
196,33187,1
16797,141933,1
"16797,13176",17611,2
"16797,24852",41232,2
46906,38906,1
16759,35761,1
20114,42496,1
34969,54312,1
22035,59607,1
49235,75443,1
27086,68906,1
"27086,24852",15497,2
5450,48909,1
